NomSubEstacao,NumCoordESub,NumCoordNSub
TAUBATE,-4556,-2302
ELOI MENDES,-4556,-2160
Alcantara,-4300,-2281
Arsenal,-4300,-2286
USINA SALTO DO JACUÍ,-5323,-2908
UHE JACUI,-5323,-2908
LAGOA DA PRATA 1,-4555,-2003
PALESTINA,-4299,-371
COELHO NETO,-4299,-430
VITORIA DE SANTO ANTAO,-3531,-812
SE CHUPINGUAIA,-6090,-1256
SE ARAPUTANGA 138 KV,-5834,-1548
"SE ALTO ARAGUAIA 34,5 KV",-5322,-1730
Parada Modelo,-4298,-2255
Trombetas,-4298,-2242
UBERABA 4,-4809,-1935
SAUDE,-4041,-1093
VITORIA DE SANTO ANTAO DOIS,-3529,-813
GLORIA DE GOITA,-3529,-800
SE SORRISO RURAL 69 KV,-5576,-1258
Itambi,-4296,-2274
DOM SILVERIO,-4296,-2015
TRES PONTAS 1,-4551,-2138
Teresopolis,-4295,-2240
PRADOPOLIS 1,-4806,-2134
SE CHAPADINHA,-4806,-2363
SE ITAPETININGA 2,-4806,-2363
SAO RAIMUNDO DAS MANGABEIRAS,-4549,-703
GUANHAES,-4293,-1878
SE SORRISO CIDADE 69 KV,-5572,-1255
USINA MIRANDA,-4804,-1891
NANUQUE,-4036,-1783
SE SORRISO RURAL II 69 KV,-5571,-1258
SE CHAPADA DOS GUIMARAES 138 KV,-5571,-1548
PIACATU 1,-5059,-2159
SOBRAL V,-4035,-371
ARACATI,-3779,-458
ITAJUBÁ 1,-4546,-2244
COQUEIRAL 1,-4546,-2119
ABAETE 2,-4546,-1916
SETD SAPUCAIA,-4290,-2199
PONTE NOVA,-4290,-2043
SE CEREJEIRAS,-6081,-1319
SÃO FRANCISCO DE PAULA,-5057,-2943
IBATE 1,-4801,-2195
OLIVEIRA DOS BREJINHOS,-4289,-1232
ROLANTE,-5056,-2964
FORMIGA,-4544,-2045
VICOSA,-4288,-2075
MARAJOARA,-4799,-1615
VARGINHA 1,-4543,-2154
VARGINHA 2,-4543,-2160
ITABERABA,-4031,-1254
UBERABA 3,-4798,-1974
AMARANTE - CEPISA,-4286,-625
IBIRUBÁ 1,-5309,-2864
SERTAOZINHO 1,-4797,-2114
SAO SEBASTIAO - CESP,-4541,-2381
EQUATORIAL,-6076,282
CASTANHAL,-4796,-129
Venda das Pedras,-4284,-2276
BARREIRINHAS II,-4284,-277
IBIRUBÁ 2,-5307,-2864
CEL01,-4795,-2323
CATALAO,-4795,-1815
TIMON,-4283,-512
PLANALTO,-5306,-2734
DOIS VIZINHOS,-5306,-2573
SUBESTA�ÃO SANTO ANTÔNIO DA PATRULHA,-5050,-2982
MARQUES,-4282,-508
SATELITE,-6073,285
SE QUATRO MARCOS 138 KV,-5817,-1564
FRANCISCO BELTRAO,-5305,-2605
SANTA INES,-4537,-367
NAZÁRIA,-4281,-534
ITAPETINGA,-4025,-1524
SE MONTE NEGRO,-6328,-1025
DISTRITO,-6072,276
GOIOERE,-5304,-2418
SUBESTA�ÃO PALMARES DO SUL,-5048,-3024
BREVES,-5048,-168
MARIA DA FÉ 2,-4536,-2232
SABABA SOLAR,-4536,-135
NAZARIA,-4280,-519
MACAUBA,-4280,-511
CHESF,-4280,-513
POTY,-4280,-501
FLORESTA,-6071,283
TERRA ALTA,-4791,-104
UBERABA 6,-4791,-1978
UBERABA 1,-4791,-1972
SAO CARLOS 3 PARAISO,-4790,-2199
LAMBARI,-4534,-2197
GUANAMBI,-4278,-1420
MEDEIROS NETO,-4022,-1739
RIB PRETO 6 IGUAPE,-4789,-2125
